segments,segments
3,2
4,17
6,2
9,4
10,5
14,140
15,6
17,21
19,1
20,2
22,2
23,4
26,2
27,1
28,1
31,1
32,15
33,1
34,1
35,1
36,4
37,1
39,2
40,4
41,12
43,1
45,2
48,23
50,62
52,50
56,1
57,179
58,1
61,4
62,1
69,7
70,1
71,7
73,1
74,15
75,1
76,2
78,8
80,1
81,148
82,1
83,12
84,6
85,39
87,8
88,3
89,4
91,3
92,7
93,1
95,122
96,15
97,32
99,1
100,11
102,2
104,31
106,11
109,3
110,1
113,14
114,2
115,162
116,7
117,29
118,1
120,1
124,5
126,1
127,1
128,92
130,13
132,5
134,1
135,1
138,10
139,3
140,1
141,2
144,1
147,1
148,1
149,6
